filename,sample_rate,duration_sec,num_samples,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,spectral_rolloff,split
jc5R0Kz6xGk_30.wav,22050,10.0,220500,0.080884,0.096709,1737.36,1772.25,3289.23,train
w7NcfBuh-ZI_6.wav,22050,9.367,206532,0.103211,0.344302,4611.91,2696.05,7964.35,train
BCGOfRnKn_g_370.wav,22050,10.0,220500,0.013862,0.11971,2158.69,2077.62,4494.32,train
Y4CCD_dNBDQ_320.wav,22050,10.0,220500,0.114871,0.000417,381.46,1234.58,511.85,train
MPxchINgsHk_280.wav,22050,10.0,220500,0.058549,0.432146,4907.35,2576.34,7612.04,train
WWisyEmocbs_20.wav,22050,10.0,220500,0.344826,0.195789,3468.61,3052.21,7343.27,train
Awk5h3VwN9w_370.wav,22050,10.0,220500,0.043869,0.175225,2950.17,2435.01,5609.0,train
rAnfNGxpW04_470.wav,22050,10.0,220500,0.300023,0.121511,1588.26,984.28,2394.56,train
5LoYaKPyA88_30.wav,22050,10.0,220500,0.007452,0.1205,2140.03,2055.27,4126.63,train
Eb3i4yI55Mo_3.wav,22050,10.0,220500,0.08168,0.148905,2801.35,2652.28,5884.11,train
g23F-H8hUv8_30.wav,22050,10.0,220500,0.124326,0.240268,3114.93,1624.94,4669.93,train
ExjkmiWArck_380.wav,22050,10.0,220500,0.016058,0.360478,4467.99,2787.41,7948.25,train
l0WGXiZ3hkA_30.wav,22050,10.0,220500,0.01401,0.211064,3122.33,2591.34,5848.46,train
-CZvettHJgI_370.wav,22050,10.0,220500,0.077712,0.051015,1467.39,1456.26,2984.87,train
IfXhJaHM_Kg_20.wav,22050,10.0,220500,0.046883,0.150416,2587.98,2391.88,5178.54,train
OpVEVhrkd3I_220.wav,22050,10.0,220500,0.076922,0.210424,3474.48,2857.03,6962.77,train
7Wat_2UHu8o_0.wav,22050,10.0,220500,0.012528,0.077714,1665.13,1505.7,3489.33,train
vfOqaKKny58_10.wav,22050,10.0,220500,0.172356,0.072692,2104.25,2508.78,4901.88,train
Ai3VV2mlVyQ_30.wav,22050,10.0,220500,0.092371,0.1696,2568.29,1961.41,4703.58,train
83_e3HqFPZ8_30.wav,22050,10.0,220500,0.123727,0.070644,1513.14,1748.83,2967.88,train
gYjm9VZSZHY_560.wav,22050,10.0,220500,0.147279,0.159599,2479.77,2208.95,5103.47,train
0UPMwdrLpKw_30.wav,22050,10.0,220500,0.139409,0.080135,1478.6,1541.02,2910.45,train
tiTGKI-M8Hc_30.wav,22050,10.0,220500,0.065791,0.123451,2416.2,2510.73,5171.47,train
ZVM25otTJYs_13.wav,22050,9.333,205782,0.196607,0.167776,2523.32,1816.81,4309.02,train
cQR0EwBEWYE_150.wav,22050,10.0,220500,0.098433,0.178708,3138.18,2995.73,7152.35,train
Z0AgBRPAcOk_40.wav,22050,10.0,220500,0.259477,0.14034,1698.77,1127.94,2704.57,train
SuM-qEQHQhw_0.wav,22050,10.0,220500,0.085105,0.146561,2556.6,2414.35,5178.16,train
r3bKnjGgY9U_5.wav,22050,9.164,202070,0.065266,0.214276,3414.56,2411.67,5916.4,train
TzUA9gI2Pxg_90.wav,22050,10.0,220500,0.032519,0.467353,4720.39,2732.02,7518.04,train
