filename,sample_rate,duration_sec,num_samples,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,spectral_rolloff,split
NErW9Srjk3Q_30.wav,22050,10.0,220500,0.120294,0.153493,2421.94,1855.4,4146.87,train
0N5nRaCcnwY_30.wav,22050,10.0,220500,0.054579,0.130849,2412.3,2216.56,4419.73,train
3WS2RT3Io1U_30.wav,22050,10.0,220500,0.119607,0.082797,1881.39,2188.39,4017.57,train
xKYqdntX4-g_60.wav,22050,10.0,220500,0.113192,0.503053,5586.64,2647.02,8907.2,train
Mt6Ko7WP_g8_24.wav,22050,9.599,211664,0.085608,0.1239,3092.22,3026.44,6984.4,train
1Yt2vKDMtaE_10.wav,22050,10.0,220500,0.083232,0.127296,2486.87,2244.25,4717.52,train
fclOThbGZNo_280.wav,22050,10.0,220500,0.068246,0.145184,2160.79,1870.99,4219.23,train
Ic7wOaZ9WXs_90.wav,22050,10.0,220500,0.010969,0.334646,4285.32,2502.75,6997.79,train
QQXzlLvJdX8_120.wav,22050,10.0,220500,0.071758,0.120236,2276.01,2290.1,4724.64,train
Ww79nGC0GuU_30.wav,22050,10.0,220500,0.024887,0.062497,880.16,975.96,1921.2,train
_aTzSiN6u2g_18.wav,22050,9.26,204188,0.218817,0.134963,2252.62,2137.55,4378.9,train
-yZPrlUIHIU_21.wav,22050,9.216,203206,0.181497,0.111124,2521.6,2654.71,5609.4,train
xWGfk7lSmVw_140.wav,22050,10.0,220500,0.057487,0.174526,2033.51,1097.16,3283.06,train
zkhbyKHfLp4_30.wav,22050,10.0,220500,0.08727,0.225541,3329.3,2722.02,6517.62,train
79XjVmV0HZs_100.wav,22050,10.0,220500,0.096399,0.150122,2988.22,2906.25,6558.83,train
nG9HBU0--DA_30.wav,22050,10.0,220500,0.070577,0.120365,2262.06,2370.25,5795.95,train
50pYDOQuSME_30.wav,22050,10.0,220500,0.379822,0.282521,4030.91,3067.06,8089.54,train
-wlouNYY_3w_50.wav,22050,10.0,220500,0.14897,0.126806,2393.14,1974.15,4618.47,train
0I53Pbe3Tac_30.wav,22050,10.0,220500,0.053912,0.084006,1870.73,2130.95,4125.26,train
2Rq7syXpFEE_30.wav,22050,10.0,220500,0.13907,0.085022,2062.75,2419.65,4428.67,train
2BMHsKLcb7E_90.wav,22050,10.0,220500,0.123979,0.126806,1869.5,1883.35,3523.28,train
o_HXBY92ZUY_390.wav,22050,10.0,220500,0.065367,0.104764,1907.74,1904.16,3957.71,train
8mYzb_KNJl8_30.wav,22050,10.0,220500,0.00358,0.300635,3919.64,2899.36,7468.05,train
zIF5vb-uetM_300.wav,22050,10.0,220500,0.13552,0.156726,2799.5,2932.43,6572.82,train
2-dHuNPOmFg_30.wav,22050,10.0,220500,0.055255,0.176305,1947.3,932.96,2905.01,train
04Bz6f8u610_20.wav,22050,10.0,220500,0.127099,0.14264,2093.34,1354.1,3348.51,train
6cQOni4OV6w_30.wav,22050,10.0,220500,0.237281,0.089092,1327.06,1007.81,2538.44,train
O26LpPh7Sbw_50.wav,22050,10.0,220500,0.15986,0.189742,3105.84,2315.63,5659.84,train
aKZ1qnqBzXQ_470.wav,22050,10.0,220500,0.22143,0.152479,2609.78,2293.51,4854.91,train
6j9MPjn8nno_30.wav,22050,10.0,220500,0.162566,0.096705,1844.89,1872.74,3592.72,train
9TmYqz6t_Fw_0.wav,22050,3.065,67584,0.023447,0.071054,1329.62,1208.9,2615.39,train
fiu40HeZfmg_60.wav,22050,10.0,220500,0.164831,0.161065,2652.63,2458.28,5400.19,train
0293c8nIIJM_230.wav,22050,10.0,220500,0.159443,0.198467,2939.26,2275.64,5234.07,train
M9MohtPXvog_50.wav,22050,10.0,220500,0.120241,0.379208,4769.63,2812.52,7792.3,train
qTyVfw6FnPw_400.wav,22050,10.0,220500,0.079315,0.158952,2368.35,2210.2,4535.44,train
qUHSY-cC6-o_30.wav,22050,10.0,220500,0.021453,0.166634,4150.65,2928.29,7646.39,train
3TchVMhavFo_30.wav,22050,10.0,220500,0.186539,0.137276,2492.1,2421.34,4930.53,train
ZDkmJwM_QNI_30.wav,22050,10.0,220500,0.005333,0.282889,4120.83,2764.73,7242.48,train
hYfnbrup4sk_200.wav,22050,10.0,220500,0.027655,0.156353,2851.86,2697.16,6255.87,train
8FsrGlQrA-U_30.wav,22050,10.0,220500,0.127057,0.11751,1824.86,1518.89,3084.72,train
MPB54jFsRG4_460.wav,22050,10.0,220500,0.050119,0.102714,1792.72,1939.25,3372.17,train
C5WAWc1sp2A_70.wav,22050,10.0,220500,0.078909,0.232724,3448.24,2677.04,6553.56,train
